,ID,Tweet,Classification,Target,Direction,Focus Words,Case Template
4502,4503,bad asian bitch yea she look just like kemora,non-hateful,,,,
4503,4504,bad bitch give good head dumb bitch get hood rich,non-hateful,,,,
4504,4505,bad bitch good head i think she ah keeper ,non-hateful,,,,
4505,4506,bad bitch ,non-hateful,,,,
4506,4507,bad bitch on my line tryna give me brains,non-hateful,,,,
4507,4508,bad bitch pussy aquafina call her crystalina,non-hateful,,,,
4508,4509,bad bitch selling molly i might take one,non-hateful,,,,
4509,4510,bad bitch with me and you kno that her ass is fat,non-hateful,,,,
4510,4511,bad bitch chest outno wonder why miss righteous keeps on getting left out,non-hateful,,,,
4511,4512,bad bitches aint cheap,non-hateful,,,,
4512,4513,bad bitches aint cheap better pass her if u broke ,non-hateful,,,,
4513,4514,bad bitches an good weed,non-hateful,,,,
4514,4515,bad bitches and good weed,non-hateful,,,,
4515,4516,bad bitches every where,non-hateful,,,,
4516,4517,bad bitches from oakland she could beeee a model,non-hateful,,,,
4517,4518,bad bitches hate broke niggaz,non-hateful,,,,
4518,4519,bad bitches in dirty ass houses ltltlt,non-hateful,,,,
4519,4520,bad bitches in the pen make my toes curl,non-hateful,,,,
4520,4521,bad bitches is the only thing i like,non-hateful,,,,
4521,4522,bad bitches is the only thing that i like,non-hateful,,,,
4522,4523,bad bitches is the only thing that i like this saturday ,non-hateful,,,,
4523,4524,bad bitches is the only thing that like,non-hateful,,,,
4524,4525,bad bitches only,non-hateful,,,,
4525,4526,bad bitches only  ,non-hateful,,,,
4526,4527,bad blood in the camp amp if its bout a bitch just know i dont respect it homie,non-hateful,,,,
4527,4528,bad chicks send em in basic hoes toss em out cant even get waffle house hating niggas chalk em out gone get the coffin out,non-hateful,,,,
4528,4529,bad foreign bitch she a walkin ferrari,non-hateful,,,,
4529,4530,bad lil bitch aint never seen her,non-hateful,,,,
4530,4531,bad lil short fine bitch lil petite sumn,non-hateful,,,,
4531,4532,bae juss the new side bitch lingo u aint special hoe,non-hateful,,,,
4532,4533,bags bags thats that bag money trash bag black and its filled up with money,non-hateful,,,,
4533,4534,bands will make her dance  stamps will make her twerk  if romney becomes president  these hoes will have to work,non-hateful,,,,
4534,4535,bang bitch you think im strange bitch its bananas like a fucking rangatang bitch,non-hateful,,,,
4535,4536,bank robber who wore zebraprint dress arrested police say ,non-hateful,,,,
4536,4537,barkley is trash,non-hateful,,,,
4537,4538,barrys whitey brownshirts run wild in oakland following the lead of nwa punks chant f the police ,non-hateful,,,,
4538,4539,barrys hoe michelle is walking in now ugly beast she is,non-hateful,,,,
4539,4540,baseball isnt the same without the yankees in the playoffs amp basketball isnt the same without the lakers in em,non-hateful,,,,
4540,4541,basic bitches amp lame niggas lt,non-hateful,,,,
4541,4542,basic bitches everywhere,non-hateful,,,,
4542,4543,basic niggah in his basic clothing,non-hateful,,,,
4543,4544,basically saying that the pound doesnt belong to us and its english greedy cunts,non-hateful,,,,
4544,4545,bathing sphere suspended orb tub not for shy people  and yet ,non-hateful,,,,
4545,4546,bbl gonna go sob over gay bird babies,non-hateful,,,,
4546,4547,be a dog to these bitches bt be a king to ya queen ,non-hateful,,,,
4547,4548,be a girl with a mind a bitch with an attitude and a lady with class,non-hateful,,,,
4548,4549,be fearful of the wrath of god in a country where many mock christianity embrace perversion abortion and bows to pcmulticulturalism,non-hateful,,,,
4549,4550,beans that were yellow before friday night are brown nowa few green leaves curledfrost but not freezebean size reduced  top end shrinks,non-hateful,,,,
4550,4551,bears game today bitches not to mention lean and bud before the train ride lol  ,non-hateful,,,,
4551,4552,beat the pussy in so well her shit still hurting from a week ago,non-hateful,,,,
4552,4553,beautiful fairy elegant dress ,non-hateful,,,,
4553,4554,because i had to accept being called a bitch every time i asserted myself ,non-hateful,,,,
4554,4555,because if nobody was judging the birds this account wouldnt even cause a ripple in d ocean,non-hateful,,,,
4555,4556,because of the message that sends to lgbtq residents in the state not as if west virginia is a paradise for queer people today is major,non-hateful,,,,
4556,4557,beefin ova bitches trade ya clip for pom poms,non-hateful,,,,
4557,4558,been huntin hard and finally nailed her best wedding koozie ive ever seen ,non-hateful,,,,
4558,4559,been a while since its just been me solo at the crib feeling kinda lonely like a hoe,non-hateful,,,,
4559,4560,been hooping all day tired than bitch,non-hateful,,,,
4560,4561,been sleeping toooooo much fuck it ima enjoy it before i start working  jobs like a hoe haha,non-hateful,,,,
4561,4562,been told by a lot of people that im cool then a hoe and that they dont understand why someone wouldnt like me,non-hateful,,,,
4562,4563,beer ball isnt for pussies,non-hateful,,,,
4563,4564,before i let a pussy cut my hair i just will let it grow,non-hateful,,,,
4564,4565,behind every independent woman is a pack of hating hoes,non-hateful,,,,
4565,4566,being a girl sucks we have to deal with periods making us a bitch shaving our legs on a daily basis and worrying about what we eat,non-hateful,,,,
4566,4567,being a hoe aint cute ,non-hateful,,,,
4567,4568,being a hoe is cute in ,non-hateful,,,,
4568,4569,being a sober soul just wasnt interesting bitch im living ,non-hateful,,,,
4569,4570,being single and not texting no bitches late night almost wacker than coming home after the club drunk and fuckin your girlfriend,non-hateful,,,,
4570,4571,believe in the heart of the cards bitch,non-hateful,,,,
4571,4572,believe it or not hoes get boring after awhile,non-hateful,,,,
4572,4573,ben will gett ya some pussy ben will get ya some head,non-hateful,,,,
4573,4574,besides my sisters this is one of two bitches you will always catch me with ,non-hateful,,,,
4574,4575,best of luck to tino the bambino martinez in miami your legacy is saved lol ,non-hateful,,,,
4575,4576,best rider that goes to a blaxican,non-hateful,,,,
4576,4577,bet charlie strong has contacted ridley,non-hateful,,,,
4577,4578,betta ask round these streets bitch bout jay,non-hateful,,,,
4578,4579,better nip that shit in the bud early,non-hateful,,,,
4579,4580,better play your part bitch dont be a smart bitch cuz i might have a change of heart,non-hateful,,,,
4580,4581,between the constant tweegrams and the bad bitches playing themselves out for attention and the stupid caption pics instagram lost me,non-hateful,,,,
4581,4582,big red and fat squaw lol my hubby is so funny ,non-hateful,,,,
4582,4583,big squawk q when will dfl dump ryan uncle tom winkler  not going to happen bergbleat onproud ,non-hateful,,,,
4583,4584,big bird holds press conf claims he does not care for the letter f,non-hateful,,,,
4584,4585,big black bitches out here arguing,non-hateful,,,,
4585,4586,big boobs  no ass no ass  big boobs big boobs and big ass  ugly face big boobs  big ass  pretty face  hoe,non-hateful,,,,
4586,4587,big bro moose trying slide into these hoes dms ,non-hateful,,,,
4587,4588,big hair bitches gtgtgtgtgtgtgtgtgtgt,non-hateful,,,,
4588,4589,big moe rn like a hoe haha yuhhhh,non-hateful,,,,
4589,4590,big ol pussy harrington blocked me again,non-hateful,,,,
4590,4591,big thick pretty bitch,non-hateful,,,,
4591,4592,biggest booth i ever seen lastnight bitch had a leopard print jumper on look like an over weight leopard,non-hateful,,,,
4592,4593,biggie was and always will be the flyest cunt in rap ,non-hateful,,,,
4593,4594,bij vraag wat is d naam van de engels des doodsdacht eerst robertikisraeluhm iets met gargamelhoe heet die kat ook al weeroja azrael,non-hateful,,,,
4594,4595,biker gang looking ass bitches with titty tats foh sons of anarchy,non-hateful,,,,
4595,4596,bill cosby stealing pussy,non-hateful,,,,
4596,4597,birthday today bitches and i gotta work ,non-hateful,,,,
4597,4598,bitch i want my number back yo pussy mustard oh yeah fuck dat bitch trust me ,non-hateful,,,,
4598,4599,bitch im not about to eat ya pussy all day longi got a life,non-hateful,,,,
4599,4600,bitch ass people are the first to call someone out for being a bitch,non-hateful,,,,
4600,4601,bitch bitch bitch,non-hateful,,,,
4601,4602,bitch fuk wat a hater gotta say brickk ent ya bitch ,non-hateful,,,,
4602,4603,bitch had a redbook account with all selfies on the add like bitch no tricks wanna see yo face,non-hateful,,,,
4603,4604,bitch i wouldnt eat yah pussy wit another nigga tongue,non-hateful,,,,
4604,4605,bitch just sucked my dick and tried to give me sugar bitch get out,non-hateful,,,,
4605,4606,bitch nicca talmbout a mf  yall aint da lakers,non-hateful,,,,
4606,4607,bitch you frooooontin bitch you frooooontin lol,non-hateful,,,,
4607,4608,bitch you may have a million dollar body but you got a dollar menu face and a fourpiece nugget pussy so you aint worth shit,non-hateful,,,,
4608,4609,bitches aint shit but hoes and tricks,non-hateful,,,,
4609,4610,bitches always think somebody want them or they little coochie lol chilling dont exist nomore  iont want yall hoes,non-hateful,,,,
4610,4611,bitches be  in the  grade talking about  where my bae at  no bitch  where ya credits at,non-hateful,,,,
4611,4612,bitches be happy about burger king pollo tropical on lunch break at work but act like dinner with new niggaz gotta be upscale,non-hateful,,,,
4612,4613,bitches be like keep calm im single first of all bitch nobody was hype,non-hateful,,,,
4613,4614,bitches be like i want something real  and i be like i want a bitch with real hair but we cant always get what we want now can we lol,non-hateful,,,,
4614,4615,bitches be like niggas aint shit  naw bitch maybe you just aint shit,non-hateful,,,,
4615,4616,bitches be mad they mane nigga gettin snatched up by all these whore yah pussy prolli wack ctfu,non-hateful,,,,
4616,4617,bitches be wearing extensions fake eye lashes and make up talkin bout they bad bitches no bitch you are not bad youre a created player,non-hateful,,,,
4617,4618,bitches bitches bitches,non-hateful,,,,
4618,4619,bitches cant fuck with my bitches they deadly,non-hateful,,,,
4619,4620,bitches cheat on they bitch but be soooooo hurt when they bitch cheat back,non-hateful,,,,
4620,4621,bitches corny with that not saving numbers shit i hate them hoes,non-hateful,,,,
4621,4622,bitches dont even go out to have fun anymore they just go out to tweet about the function and to take pics wit other bitches,non-hateful,,,,
4622,4623,bitches dont wann fxck me no more bitches wanna fxck all my bitches,non-hateful,,,,
4623,4624,bitches know they bitches bitch,non-hateful,,,,
4624,4625,bitches love beefing over a nigga thats always in other bitches faces,non-hateful,,,,
4625,4626,bitches swear up and down they pussy the best but aint,non-hateful,,,,
4626,4627,bitches talmbout they limber got these bitches in limbo,non-hateful,,,,
4627,4628,bitches think theyre slick but no matter how hard they try and hide it we can still tell if theyre hoes or not,non-hateful,,,,
4628,4629,bitches will be bitches,non-hateful,,,,
4629,4630,bitches will be bitches,non-hateful,,,,
4630,4631,bitches with kids are retarded,non-hateful,,,,
4631,4632,bitches with trash pussy always want unprotected sex,non-hateful,,,,
4632,4633,bitches bitches bitches,non-hateful,,,,
4633,4634,bitzy probably popped a percocet before she had these drinks with mellie she seems like that kind of of trill ol bitch ,non-hateful,,,,
4634,4635,bjergsen just made a full as rune page i dont just me full as reds and quints i mean as reds blues yellows and quints  as,non-hateful,,,,
4635,4636,blac chynas ass shouldve threw him off first of all its wop sided and those cheek piercing trashy as hell,non-hateful,,,,
4636,4637,black twitter needs to get off paul george dick about him impregnating a stripper wiz did tyga did kanye turned a hoe into a housewife,non-hateful,,,,
4637,4638,blah blah idgaf bout you crazy ass bitch,non-hateful,,,,
4638,4639,blah in all honesty i just need some pussy thats it,non-hateful,,,,
4639,4640,blatt trash too  but twitter said he was good,non-hateful,,,,
4640,4641,blonde bitch wit her blue eyes like butter when she spread,non-hateful,,,,
4641,4642,blows my mind how some guys have these model type girls then cheat on them with some ghetto hoe,non-hateful,,,,
4642,4643,boats n hoes boats n hoes gotta have me my boats n hoes,non-hateful,,,,
4643,4644,bobby bitchgthot nigga,non-hateful,,,,
4644,4645,bobby stole the black from gabby pedro but she kept all the ghetto ,non-hateful,,,,
4645,4646,bomb your housethen fuck your bitchall hail al qaeda,non-hateful,,,,
4646,4647,bond had the hoes and the money bourne kicked ass no gadgets hawk always let a bitch die,non-hateful,,,,
4647,4648,boosie ran this hoe,non-hateful,,,,
4648,4649,boozer so trash,non-hateful,,,,
4649,4650,bossd up on my old hoes,non-hateful,,,,
4650,4651,both of my bitches drive range rovers,non-hateful,,,,
4651,4652,both of them hoes losers and need to hit the gym,non-hateful,,,,
4652,4653,both yall pussy son beat it ,non-hateful,,,,
4653,4654,bought that bitch mozzarella sticks bitches love mozzarella sticks,non-hateful,,,,
4654,4655,bought these bitches breakfast and now getting kissed on my cheeks non stoplol check out is literally in  mins tho,non-hateful,,,,
4655,4656,bought this lp in manchester the other week had no idea it was coloured vinyl man what a steal ,non-hateful,,,,
4656,4657,bout tht time where the hoes are gettin dicked down,non-hateful,,,,
4657,4658,bout to dub dis bitch,non-hateful,,,,
4658,4659,bout to make some brownies in a few,non-hateful,,,,
4659,4660,bout to smoke a  n dis bitch  ,non-hateful,,,,
4660,4661,bout to unfollow all the bitches i follow currently and follow all new bitches i need change in my life and i feel like thats a good start,non-hateful,,,,
4661,4662,bouta rasengan all these stupid bitches,non-hateful,,,,
4662,4663,bow down bitches bow down bitchess,non-hateful,,,,
4663,4664,bowling greens campus looks old as fuck like state penitentiary old but they do have a lot of bitches so i guess that counts for a lot,non-hateful,,,,
4664,4665,boy yo bitch a lame  dont nobody know her but you,non-hateful,,,,
4665,4666,boyfriends and brothers will drop off and pick up bitches from their fast food job as long as their promised a free meal,non-hateful,,,,
4666,4667,boys dont wanna seem like bitch thats why they dont express feelings like us females do,non-hateful,,,,
4667,4668,boys want bad bitches  and dummies men want strong women who respect themselves and support his grind while handling hers,non-hateful,,,,
4668,4669,brackin in da bity boolin wit sum bitches straight bleedin,non-hateful,,,,
4669,4670,brad pitt is older than charlie sheen what the fuckkkkkkkkkkkkk,non-hateful,,,,
4670,4671,brag bout your hoes you prolly get  to no pussy,non-hateful,,,,
4671,4672,brag to you about the hoes he hittin and when you ask for a pic he show you some sorry ass female then all you can do is laugh,non-hateful,,,,
4672,4673,brandon jennings trash,non-hateful,,,,
4673,4674,break shit fuck the lawgrrrrfuck that shitpunch that bitch,non-hateful,,,,
4674,4675,breakfast fried chicken jerk chicken tater tots white rice nd press yellow rice nd beans mac nd cheese ,non-hateful,,,,
4675,4676,breaking news ur a little bitch,non-hateful,,,,
4676,4677,breaking yo bitch like a kitkat nigga,non-hateful,,,,
4677,4678,breezy gotta sleep this hoe,non-hateful,,,,
4678,4679,briahna told me the best advice i ever gave her was that it aint nothing to cut dat bitch off lmao,non-hateful,,,,
4679,4680,brie said we were together since before we were born you guys are twins duh bitch omg who wrote the script ,non-hateful,,,,
4680,4681,bro im bored then a hoe rt,non-hateful,,,,
4681,4682,bro what in the fuck yall bitches thinking  that is not ok,non-hateful,,,,
4682,4683,bros before hoes not bros over your girlfriend,non-hateful,,,,
4683,4684,bros before hoes not bros over your girlfriend,non-hateful,,,,
4684,4685,broke bitches be like oh he got monnneyyy,non-hateful,,,,
4685,4686,broke bitches on my tl,non-hateful,,,,
4686,4687,broner would still knock half u niccas out,non-hateful,,,,
4687,4688,brooooooo that wingstop went sooooo clutch i straight ran through that hoe,non-hateful,,,,
4688,4689,brown is a color so my eyes are colored,non-hateful,,,,
4689,4690,brownies brownies brownies,non-hateful,,,,
4690,4691,browns and redskins shouldnt be considered nfl teams,non-hateful,,,,
4691,4692,brrr hoe dichter bij het sint gebeuren hoe racistischer de drek op twitter en het komt nagenoeg alleen van de prozwartepieten hoek engvolk,non-hateful,,,,
4692,4693,bruh im ready to get this four wheeler that bitch is fast asf,non-hateful,,,,
4693,4694,bruh leave it to the coins coons,non-hateful,,,,
4694,4695,bruh went so hard on that bitch he deserves pimp of the year,non-hateful,,,,
4695,4696,bruh sasuke and sakuras daughter gonna be a bad uchiha bitch,non-hateful,,,,
4696,4697,bruh pt   killed this hoe too last night while we was sleep ,non-hateful,,,,
4697,4698,bruised ankle is a bitch,non-hateful,,,,
4698,4699,brutus looking girl getting off the elevator as im walking into a different one no bitch u cant come in u cant u cant come in,non-hateful,,,,
4699,4700,bsd bitch make it clap,non-hateful,,,,
4700,4701,bt bitches ampamp niggahs always had there hand out,non-hateful,,,,
4701,4702,bt dubz ur best pals bitch about u to me quite often ,non-hateful,,,,
4702,4703,build a bear ltltltlt build a bitch,non-hateful,,,,
4703,4704,bull color schemesdull you stupid bitch duke wears bold pastel colorsbull makes no sense,non-hateful,,,,
4704,4705,bullying laws are for pussies,non-hateful,,,,
4705,4706,bum ass hoe,non-hateful,,,,
4706,4707,bum bitch wont even my type,non-hateful,,,,
4707,4708,bumpin that nigga nigga rick ross bmf this hoe going harrrrd highh outside enjoying this weather,non-hateful,,,,
4708,4709,bussin bitches with my gwale gwalas,non-hateful,,,,
4709,4710,busted my lip playing ball so now i cant enjoy pussy and this delicious mango,non-hateful,,,,
4710,4711,but i callin out da race card aint no colored podcasts out dare,non-hateful,,,,
4711,4712,but i cant buy tomorrow thats why i go hard hoe,non-hateful,,,,
4712,4713,but i cant get her to smoke unless i bitch about it the struggles of having a girl who doesnt in actuality its a great thing,non-hateful,,,,
4713,4714,but bitch you gon shave or wax that pussy before i bless it foh,non-hateful,,,,
4714,4715,but bitches are crazy id be in jail for sure,non-hateful,,,,
4715,4716,but no one calls him a pussy for his injuries,non-hateful,,,,
4716,4717,but rich is a light skin coon so its expected,non-hateful,,,,
4717,4718,but she a bad bad bitch make you late for it,non-hateful,,,,
4718,4719,but staying up gon be a bitch,non-hateful,,,,
4719,4720,but they only talk on twitter bc pussies in real life,non-hateful,,,,
4720,4721,but this emotional shit is absolutely for the birds,non-hateful,,,,
4721,4722,but you love me you dont wanna be with nobody else blah blah bullshit fa the birds,non-hateful,,,,
4722,4723,butters get all the hoes,non-hateful,,,,
4723,4724,bye bye charlie strong,non-hateful,,,,
4724,4725,cebros and corporate hoes,non-hateful,,,,
4725,4726,cleary diz princess iz a bad bitch ,non-hateful,,,,
4726,4727,come to tnd atrocities starts at  followed by lost cause auramea night verses and norma jean lets fill this bitch,non-hateful,,,,
4727,4728,caleb needs to stop being a little bitch,non-hateful,,,,
4728,4729,california has gangs because california is trash,non-hateful,,,,
4729,4730,call a hoe a hoe and a rat a rat,non-hateful,,,,
4730,4731,call dat bitch ,non-hateful,,,,
4731,4732,call me ghetto if you want but im walking to and from class with my bonnet on my hair,non-hateful,,,,
4732,4733,call of duty out this bitch,non-hateful,,,,
4733,4734,called eddie a hoe by mistake doe lol,non-hateful,,,,
4734,4735,calling it am early night heartache is a bitch ,non-hateful,,,,
4735,4736,cam newton is such a little girl like grow up and quit actin like a bitch,non-hateful,,,,
4736,4737,cam newton is such a pussy he needs to grow up and learn he isnt a hotshot any more,non-hateful,,,,
4737,4738,came home and found my cat sleeping on my pillow c i love that niggah,non-hateful,,,,
4738,4739,camo day catch me at school huntin for basic bitches ,non-hateful,,,,
4739,4740,can charlie crist pull one over on rick scott well he did pull one over on dems tonite ,non-hateful,,,,
4740,4741,can dick sherman get caught doing blow of a tranny hooker some time soon please preferably pete carroll,non-hateful,,,,
4741,4742,can i bring another bitch can we have a threesome or nahhh,non-hateful,,,,
4742,4743,can i bring another bitch or nah,non-hateful,,,,
4743,4744,can i double stuff your oreo,non-hateful,,,,
4744,4745,can i get some good neck out dis hoe,non-hateful,,,,
4745,4746,can i have a bad bitch without no flawscome to meet me without no drawers,non-hateful,,,,
4746,4747,can i have a bad bitch without no flawwssss,non-hateful,,,,
4747,4748,can i pay you to stop being a lil bitch gah damn shut the fuck up,non-hateful,,,,
4748,4749,can my school please fuckin remove these random ass trash cans in the middle of the hallway that i always fuckin run into,non-hateful,,,,
4749,4750,can never follow bitches whos bios look like this ,non-hateful,,,,
4750,4751,can really hold phone convos in my house with this trash ass service,non-hateful,,,,
4751,4752,can someone beat justin beibers ass hes such little pussy,non-hateful,,,,
4752,4753,can someone get me cheese and crackers,non-hateful,,,,
4753,4754,can someone please explain to me why are the birds so angry amp destroying pigs homes,non-hateful,,,,
4754,4755,can someone treat me to some grub im broke bitch over here,non-hateful,,,,
4755,4756,can these birds shut the fuck up,non-hateful,,,,
4756,4757,can this bitch hurry up ,non-hateful,,,,
4757,4758,can u say hoe hoe hoe ewww she was nasty i was so mean to her on the daily ill spare the details lol,non-hateful,,,,
4758,4759,can we bomb the selfiemonkey out of my timeline,non-hateful,,,,
4759,4760,can you catch a box hoe,non-hateful,,,,
4760,4761,can you catch a box hoe ,non-hateful,,,,
4761,4762,can you imagine tryn yo hardest to stop a bitch frm slutin and still comin up unsuccessful,non-hateful,,,,
4762,4763,can you let me stretch that pussy out or nah,non-hateful,,,,
4763,4764,can you let me stretch that pussy out or nahhh,non-hateful,,,,
4764,4765,cant be a major nigga with a minor hoe,non-hateful,,,,
4765,4766,cant be many things worse than having cops interrupted because a friggin yankee game is still going on,non-hateful,,,,
4766,4767,cant beat a score of  on flappy bird ,non-hateful,,,,
4767,4768,cant even sleep in the fucking car because this mother fucker drives like a retard and pumps the breaks too hard,non-hateful,,,,
4768,4769,cant find my bc powder  ill just chug this childrens advil,non-hateful,,,,
4769,4770,cant fuck wit no bitch ugly friends,non-hateful,,,,
4770,4771,cant fuck with no bitches just cant do it,non-hateful,,,,
4771,4772,cant get no pussy to kirk franklin idc how long its been for ya,non-hateful,,,,
4772,4773,cant have a bitch with no future or goals i love kids but if youre not a parent first i cant deal with you,non-hateful,,,,
4773,4774,cant keep a bitch but its cool cause money still around,non-hateful,,,,
4774,4775,cant keep a shallow bitch if ya pockets aint deep,non-hateful,,,,
4775,4776,cant let nobody play my gta bitches like using up all ya ammo n gettin ya dude kilt by the cops,non-hateful,,,,
4776,4777,cant neva be a sucka for no bitch that aint me,non-hateful,,,,
4777,4778,cant no hoe ,non-hateful,,,,
4778,4779,cant save these hoes,non-hateful,,,,
4779,4780,cant stand a bitch that always feels the need to be doing somethin sit your ass at home and be bored you aint gotta be a hoe all the time,non-hateful,,,,
4780,4781,cant stand a sob ass bitch,non-hateful,,,,
4781,4782,cant stand the yankees but jeter hitting a home run in his final at bat in nyc would be cool getting beaned would be better,non-hateful,,,,
4782,4783,cant stand when i see a female just get out of relationship amp  days later their talking to another guy  hoes gonna be hoes smh,non-hateful,,,,
4783,4784,cant stop eating graham crackers,non-hateful,,,,
4784,4785,cant tell if mexico has been impressive or if brazil has just been trash today,non-hateful,,,,
4785,4786,cant tell me shit cuz ion care bitch,non-hateful,,,,
4786,4787,cant trust every face bitch you gotta watch em,non-hateful,,,,
4787,4788,cant trust these hoes and when i say hoes i mean dudes to,non-hateful,,,,
4788,4789,cant wait till i get my full appetite back only ate a half ghetto sandwich no lettuce no nothing,non-hateful,,,,
4789,4790,cant wait to put this down payment on my bitch,non-hateful,,,,
4790,4791,cant wait to see my bitch dutchess,non-hateful,,,,
4791,4792,cant worry bout a bitch that aint worried bout me,non-hateful,,,,
4792,4793,cancel that bitch like ninooo,non-hateful,,,,
4793,4794,cancer is a hoe yall pray for the people who have it ,non-hateful,,,,
4794,4795,cant handle this bitch and her elbow fat,non-hateful,,,,
4795,4796,cardinals score  they lead  in the top  with birds on base ,non-hateful,,,,
4796,4797,carl try eat the pussy but that big ass nose be fucking shit up,non-hateful,,,,
4797,4798,carol is gonna george and lenny this bitch,non-hateful,,,,
4798,4799,carrahs a bitch,non-hateful,,,,
4799,4800,carter needs to shut the fuck up fucking bitch ass always trying to start shit,non-hateful,,,,
4800,4801,casey matthews is so trash this is big,non-hateful,,,,
4801,4802,catch this jet hoe,non-hateful,,,,
4802,4803,catch up with the lingo itty bitty bitch,non-hateful,,,,
4803,4804,cause im a trophy hunting little bitch,non-hateful,,,,
4804,4805,cause im the type of nighha to joke on you or to play around so dont be a little bitch,non-hateful,,,,
4805,4806,cause bitch i rather eat pussy then get mine ate,non-hateful,,,,
4806,4807,cause you know yall hoes play entirely too much,non-hateful,,,,
4807,4808,cavs trash too,non-hateful,,,,
4808,4809,celebrities teeth really be white as shit i mean dont get me wrong my shit aint yellow by far but i need whatever toothpaste they be using,non-hateful,,,,
4809,4810,chaber books bragadayjah   nimrod the cushite first king of the earth see bragadayjah ,non-hateful,,,,
4810,4811,chaber books bragadayjah   further restrictions on eating certain insects and birds,non-hateful,,,,
4811,4812,chance is trash,non-hateful,,,,
4812,4813,chances make champions nicca aint nothing stopping you,non-hateful,,,,
4813,4814,chances make champions nicca aint nothing stopping you,non-hateful,,,,
4814,4815,charlene crave colored cock,non-hateful,,,,
4815,4816,charles tillmans eyes are more yellow than corn,non-hateful,,,,
4816,4817,charles was eatin trash ass dominoes in that picyou know he was still poor at the time lol,non-hateful,,,,
4817,4818,charlie clips vs yung ill review ,non-hateful,,,,
4818,4819,charlie crist r i d  fl rumored to demand a recount ,non-hateful,,,,
4819,4820,charlie crist and rick scott are both scumbags however interesting that crist has yet to run one just one positive political ad,non-hateful,,,,
4820,4821,charlie crist has asked to keep polls in broward open until  claiming long lines media reports say turnout light in broward,non-hateful,,,,
4821,4822,charlie crist outlawed hated rediculed and vilified for shaking the presidents hand what a country what a democracy,non-hateful,,,,
4822,4823,charlie daniels couldve done a better job ,non-hateful,,,,
4823,4824,charlie jacobs got confused about the ice bucket challenge and instead dumped a bucket of diamonds on his head,non-hateful,,,,
4824,4825,charlie kimball i had nowhere to go  ,non-hateful,,,,
4825,4826,charlie parr mountain top music fest ,non-hateful,,,,
4826,4827,charlie rangel some republicans believe that slavery isnt over  truth revolt  bam race card vote democrats out,non-hateful,,,,
4827,4828,charlie sheen,non-hateful,,,,
4828,4829,charlie sheen never disappoints,non-hateful,,,,
4829,4830,charlie sheen wants to return to two and a half men  ,non-hateful,,,,
4830,4831,charlie sheens video message to president obama ,non-hateful,,,,
4831,4832,charlie and i love that dog ,non-hateful,,,,
4832,4833,charlie and ron has constantly put out heat for their entire careers,non-hateful,,,,
4833,4834,charlie bit me,non-hateful,,,,
4834,4835,charlie horses suck ass ,non-hateful,,,,
4835,4836,charlie is an ol hatin fool ,non-hateful,,,,
4836,4837,charlie is so adorable ,non-hateful,,,,
4837,4838,charlie looking like hes the one that made that ,non-hateful,,,,
4838,4839,charlie not fukin around in austin every week somebody getting kicked off the team,non-hateful,,,,
4839,4840,charlie xcx is bae,non-hateful,,,,
4840,4841,chase the pussy its a sin falls in ya lap its a blessing,non-hateful,,,,
4841,4842,cheated my way to get hahaha this bitch funny if youre so worried about me then stop subtweeting me dumb ass,non-hateful,,,,
4842,4843,cheeky thoughts as the rooster crows,non-hateful,,,,
4843,4844,cheer up charlie,non-hateful,,,,
4844,4845,cheese bitch chupacabra looking fuxk ,non-hateful,,,,
4845,4846,cheezits honey bbq lays oreos and a monstrous glass of  right now im the skinnyfat poster boy,non-hateful,,,,
4846,4847,chick fil a wasnt about anti gay it was about the first ammendment if you didnt get that then you have no right to bitch about rights,non-hateful,,,,
4847,4848,chick got a man but no edges niggas got hoes but no diploma  damn,non-hateful,,,,
4848,4849,chicks be mad at me for tweetin about hoes like im talkin about a specific someone lol sorry ladies if the shoe fits then wear it,non-hateful,,,,
4849,4850,chill bitch we aint in love,non-hateful,,,,
4850,4851,chill with the thirst bitch my chicks right next to me for real hoe,non-hateful,,,,
4851,4852,chillin in the hood with my retarded ass homegirl i feel at home,non-hateful,,,,
4852,4853,chillin wit my bitch who never hesitates tonight,non-hateful,,,,
4853,4854,chillin with my main hoe becky ,non-hateful,,,,
4854,4855,choate chokes on twinkiesgt all the damn time i bet ,non-hateful,,,,
4855,4856,chocolate cake is so trash,non-hateful,,,,
4856,4857,chop the top on the porsche thats a headless horse  extendo long as an extension cord bitch i ball like jordan and i play full court,non-hateful,,,,
4857,4858,chris brown get bitches bruh lmao,non-hateful,,,,
4858,4859,chris paul trash lmfao,non-hateful,,,,
4859,4860,chris a faggot,non-hateful,,,,
4860,4861,chris bosh made danny green his bitch last night,non-hateful,,,,
4861,4862,cigarette break nd wtf are mt eyes glowing like charlie murphy in the madd real world lol ,non-hateful,,,,
4862,4863,city highway skyscrapers building lights yellow blue ,non-hateful,,,,
4863,4864,classy rich family kids doing drugs and tryina be all ghetto and shitwhile actual ghetto poor kids looking for education to get outta there,non-hateful,,,,
4864,4865,cleanup bitch i just got off the phone with em,non-hateful,,,,
4865,4866,clearly im afraid of birds ,non-hateful,,,,
4866,4867,cleveland is the best team for manziel honestly the oc can use the offense he had with the redskins amp the browns d is nice wit a def hc,non-hateful,,,,
4867,4868,close your eyes and let the world paint a thousand pictures one good girl is worth a thousand bitches,non-hateful,,,,
